listing_id,url,title,host_id,location_city,location_province,rv_type,rv_year,rv_make,rv_model,length_ft,sleeps,num_slide_outs,weight_lbs,hitch_size,hitch_weight_lbs,base_price,security_deposit,pet_friendly,delivery_available,delivery_max_km,delivery_price_per_km,overall_rating,num_reviews,accuracy_rating,value_rating,cleanliness_rating,communication_rating,flexible_pickup,flexible_dropoff,towing_experience_required,host_name,response_rate,is_superhost
165,https://www.rvezy.com/rv-rental/alberta_calgary-_motorhome_classc_adventurer_r22,Rent my 2009 Ford Adventurer R22 from $350/night | RVezy,165.0,Calgary,AB,Class C,2009.0,Ford,Adventurer R22,22.0,6,,,,,350.0,1.0,1,0,,,5.0,11.0,5.0,5.0,5.0,5.0,0,0,0,Sue,100.0,0.0
166,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_r-vision_trail-lite-7212,Rent my 1999 R-Vision Trail Lite 7212 from $115/night | RVezy,166.0,Calgary,AB,Travel Trailer,1999.0,R-Vision,Trail Lite 7212,21.0,521,,2780.0,"2""",300.0,115.0,1.0,0,1,150.0,2.5,4.9,8.0,5.0,4.7,5.0,5.0,1,1,0,Edward,100.0,0.0
167,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_tenttrailer_forest-river_flagstaff_11f9d,Excellent Tent Trailer with 2 Dinettes and Electric Crank Up - Only one in AB,167.0,Calgary,AB,Travel Trailer,,,,14.0,614,2.0,1590.0,"2""",201.0,,500.0,0,0,,,5.0,4.0,5.0,5.0,5.0,5.0,1,1,0,Kamalpreet,100.0,0.0
169,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_microtrailer_beaverbuilt-adventure-trailers_mahkesis,Rent my 2021 Beaverbuilt Adventure Trailers Mahkesis from $98/night | RVezy,169.0,Calgary,AB,Travel Trailer,2021.0,Beaverbuilt,Adventure Trailers Mahkesis,12.0,412,,1650.0,"2""",195.0,98.0,500.0,0,1,25.0,4.0,5.0,8.0,5.0,5.0,5.0,5.0,1,1,0,Brendon,80.0,0.0
170,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_forest-river_no-bo-193_3724f0,Rent my 2022 Forest River No Bo 19.3 from $138/night | RVezy,170.0,Calgary,AB,Travel Trailer,,,,19.0,519,,4200.0,"2""",550.0,138.0,1.0,0,1,200.0,4.68,4.5,2.0,4.5,4.5,4.5,4.5,1,1,0,Zia,50.0,0.0
172,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_coachmen_catalina-303-qbck-le-33_cf02fd,Rent my 2021 Coachmen Catalina 303 QBCK LE 33 from $213/night | RVezy,172.0,Calgary,AB,Travel Trailer,2021.0,Coachmen,Catalina 303 QBCK LE 33,33.0,833,1.0,7127.0,"2""",856.0,213.0,1.0,0,0,,,,,5.0,5.0,5.0,5.0,1,1,1,Patricia,100.0,0.0
175,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_kz_sportsman_795caf,Rent my 2019 KZ Sportsman from $150/night | RVezy,175.0,Calgary,AB,Travel Trailer,2019.0,KZ,Sportsman,29.0,629,1.0,7200.0,"2""",720.0,150.0,1.0,0,1,125.0,2.0,,,,,,,1,1,1,Justin,100.0,0.0
176,https://www.rvezy.com/rv-rental/ontario_brant_traveltrailer_traveltrailer_jayco_rl27_964edd,Rent my 2019 Jayco RL27 from $230/night | RVezy,176.0,Calgary,AB,Travel Trailer,2019.0,Jayco,RL27,27.0,427,1.0,12500.0,"2""",225.0,230.0,1.0,0,1,350.0,2.5,,,5.0,5.0,5.0,5.0,1,1,1,Christopher,80.0,0.0
177,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_fleetwood_pioneer-210-cks_ed5cfb,Rent my 2006 Fleetwood Pioneer 210 CKS from $126/night | RVezy,177.0,Calgary,AB,Travel Trailer,2006.0,Fleetwood,Pioneer 210 CKS,21.0,721,1.0,4185.0,"2 5/16""",627.0,126.0,1.0,1,1,150.0,2.5,,,5.0,5.0,5.0,5.0,1,1,0,sheldon,100.0,0.0
179,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_other_21rbh_79e21c,Rent my 2004 Trail Cruiser TC 21RBH from $138/night | RVezy,135.0,Calgary,AB,Travel Trailer,2004.0,Trail,Cruiser TC 21RBH,21.0,521,,5500.0,"2 5/16""",500.0,138.0,1.0,1,1,200.0,2.1,4.8,10.0,4.9,4.8,4.7,4.9,1,1,0,Jason,100.0,0.0
