host_id,name,joined_year,response_rate,is_superhost,listing_id,url,title,host_id,location_city,location_province,rv_type,rv_year,rv_make,rv_model,length_ft,sleeps,num_slide_outs,weight_lbs,hitch_size,hitch_weight_lbs,base_price,security_deposit,pet_friendly,delivery_available,delivery_max_km,delivery_price_per_km,overall_rating,num_reviews,accuracy_rating,value_rating,cleanliness_rating,communication_rating,flexible_pickup,flexible_dropoff,towing_experience_required,host_total_listings
1,Lisa,2021,93,0,148,https://www.rvezy.com/rv-rental/alberta_sundre_traveltrailer_traveltrailer_dutchmen_kodiak-club_48cc22,Rent my 2021 Dutchmen Kodiak Club from $150/night | RVezy,1,Sundre,AB,Travel Trailer,2021.0,Dutchmen,Kodiak Club,18.0,218,,3500.0,"2""",450.0,150.0,1.0,1,1,100.0,2.5,,,,,,,0,0,1,2
1,Lisa,2021,93,0,1,https://www.rvezy.com/rv-rental/alberta_taber_traveltrailer_traveltrailer_dutchmen_28h-ssl,Rent my 2007 Dutchmen 28H SSL from $126/night | RVezy,1,Taber,AB,Travel Trailer,2007.0,Dutchmen,28H SSL,28.0,928,1.0,5312.0,"2 5/16""",618.0,126.0,500.0,0,0,,,4.8,24.0,4.8,4.8,4.8,4.9,1,1,0,2
2,Ryan,2025,75,0,2,https://www.rvezy.com/rv-rental/alberta_clive_traveltrailer_toyhauler_keystone_carbon-297_f76b88,Rent my 2016 Keystone Carbon 297 from $230/night | RVezy,2,Clive,AB,Travel Trailer,2016.0,Keystone,Carbon 297,36.0,636,2.0,11152.0,"2 5/16""",2600.0,230.0,1.0,1,0,,,,,,,,,1,1,1,4
2,Ryan,2025,75,0,247,https://www.rvezy.com/rv-rental/alberta_airdrie_traveltrailer_traveltrailer_palomino_puma_2577ca,Rent my 2024 Palomino Puma from $184/night | RVezy,2,Airdrie,AB,Travel Trailer,2024.0,Palomino,Puma,25.0,625,1.0,6028.0,"2 5/16""",650.0,184.0,1.0,1,1,200.0,2.0,,,,,,,1,1,1,4
2,Ryan,2025,75,0,347,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_highland-ridge-rv_range-lite-241bh_3ca9a9,Rent my 2022 Highland Ridge RV Range lite 241BH from $155/night | RVezy,2,Calgary,AB,Travel Trailer,2022.0,Highland,Ridge RV Range lite 241BH,24.0,824,1.0,5800.0,"2 5/16""",585.0,155.0,1.0,1,1,,,,,,,,,1,1,1,4
2,Ryan,2025,75,0,24,https://www.rvezy.com/rv-rental/alberta_lethbridge_traveltrailer_traveltrailer_komfort_21-t_72d5cc,Rent my 2001 Komfort 21-T from $114/night | RVezy,2,Lethbridge,AB,Travel Trailer,2001.0,Komfort,21-T,21.0,321,,4500.0,"2 5/16""",480.0,114.0,700.0,0,1,250.0,2.0,,,,,,,0,0,0,4
6,Brad,2020,80,0,22,https://www.rvezy.com/rv-rental/alberta_lacombe_motorhome_classc_adventure-manufacturing_23rb,Rent my 2013 Adventurer 23ft from $229/night | RVezy,6,Lacombe,AB,Class C,2013.0,Adventurer,23ft,23.0,6,,,,,229.0,1.0,0,0,,,4.8,35.0,4.8,4.8,4.6,4.8,1,1,0,2
6,Brad,2020,80,0,6,https://www.rvezy.com/rv-rental/alberta_lacombe_traveltrailer_traveltrailer_travel-aire_rt-185,Rent my 2004 Travelaire Rustler from $125/night | RVezy,6,Lacombe,AB,Travel Trailer,2004.0,Travelaire,Rustler,19.0,4,,3000.0,"2 5/16""",800.0,125.0,1.0,1,0,,,4.8,9.0,4.8,4.8,4.8,4.8,1,1,0,2
20,Adam,2022,100,1,20,https://www.rvezy.com/rv-rental/alberta_blackfalds_traveltrailer_hybrid_kz_sportsman-classic,Rent my 2022 KZ Sportsman classic from $115/night | RVezy,20,Lacombe,AB,Travel Trailer,2022.0,KZ,Sportsman classic,22.0,622,,3370.0,"2""",360.0,115.0,1.0,1,1,70.0,4.5,5.0,26.0,5.0,5.0,5.0,5.0,1,1,0,2
20,Adam,2022,100,1,429,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_forest-river_wildwood-x-lite-bunk-house_fb6f47,Rent my 2016 Forest River Wildwood X Lite - Bunk House from $115/night | RVezy,20,Calgary,AB,Travel Trailer,2016.0,Forest,River Wildwood X Lite - Bunk House,21.0,621,,3300.0,"2 5/16""",403.0,115.0,1.0,1,0,,,,,,,,,0,0,1,2
